sample,token_idx,token,context,true,pred,category
0,43,long,con ##gen ##ital long q ##t syndrome,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
0,59,rhythm,onset of the rhythm disturbance ##s is,O,B-DiseaseOrPhenotypicFeature,false_positive
0,60,disturbance,of the rhythm disturbance ##s is associated,O,I-DiseaseOrPhenotypicFeature,false_positive
0,80,f,newborn patient with f ##etal bra ##dy,O,B-DiseaseOrPhenotypicFeature,false_positive
0,82,bra,with f ##etal bra ##dy ##card ##ia,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
0,184,3,##q ##ts - 3 mutation was identified,O,I-DiseaseOrPhenotypicFeature,false_positive
0,209,cardiac,"1 . 5 cardiac sodium channel ,",O,I-GeneOrGeneProduct,false_positive
0,210,sodium,". 5 cardiac sodium channel , with",B-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
0,211,channel,"5 cardiac sodium channel , with a",O,I-GeneOrGeneProduct,false_positive
0,228,a,", which changed a v ##ali ##ne",O,I-SequenceVariant,false_positive
1,34,op,primary target for op ##io ##id drugs,O,B-ChemicalEntity,false_positive
1,37,drugs,op ##io ##id drugs and p ##eptide,O,I-ChemicalEntity,false_positive
1,63,addiction,pain perception and addiction . genetic variants,O,B-DiseaseOrPhenotypicFeature,false_positive
1,105,substitution,"n ##40 ##d substitution , with an",O,I-SequenceVariant,false_positive
1,194,chin,##fect ##ion into chin ##ese ha ##ms,B-OrganismTaxon,O,false_negative
1,196,ha,into chin ##ese ha ##ms ##ter o,I-OrganismTaxon,I-CellLine,wrong_type
1,199,o,ha ##ms ##ter o ##vary cells of,O,I-CellLine,false_positive
1,218,ad,"##1 , carrying ad ##eno ##sin ##e",B-SequenceVariant,B-ChemicalEntity,wrong_type
1,223,g,"##sin ##e , g ##uan ##os ##ine",I-SequenceVariant,I-ChemicalEntity,wrong_type
1,228,c,"##os ##ine , c ##yt ##id ##ine",I-SequenceVariant,I-ChemicalEntity,wrong_type
1,234,thy,"##ine , and thy ##mi ##dine in",I-SequenceVariant,I-ChemicalEntity,wrong_type
1,389,disorder,to a complex disorder such as drug,O,I-DiseaseOrPhenotypicFeature,false_positive
2,60,childhood,heart failure after childhood cancer . background,O,B-DiseaseOrPhenotypicFeature,false_positive
2,61,cancer,failure after childhood cancer . background :,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
2,235,childhood,enrolled in the childhood cancer survivor study,O,B-DiseaseOrPhenotypicFeature,false_positive
2,236,cancer,in the childhood cancer survivor study who,O,I-DiseaseOrPhenotypicFeature,false_positive
3,47,beta,##ios ##ele ##ctive beta - block ##er,O,B-ChemicalEntity,false_positive
3,48,-,##ele ##ctive beta - block ##er met,O,I-GeneOrGeneProduct,false_positive
3,49,block,##ctive beta - block ##er met ##op,O,I-GeneOrGeneProduct,false_positive
4,24,de,##tion syndrome . de ##ox ##y ##gua,B-DiseaseOrPhenotypicFeature,B-GeneOrGeneProduct,wrong_type
4,30,kinase,##gua ##nos ##ine kinase ( d ##g,I-DiseaseOrPhenotypicFeature,I-GeneOrGeneProduct,wrong_type
4,31,(,##nos ##ine kinase ( d ##g ##k,I-DiseaseOrPhenotypicFeature,O,false_negative
4,32,d,##ine kinase ( d ##g ##k ),I-DiseaseOrPhenotypicFeature,B-GeneOrGeneProduct,wrong_type
4,51,he,associated with a he ##pa ##to ##cer,O,B-DiseaseOrPhenotypicFeature,false_positive
4,93,d,features of these d ##gu ##ok patients,B-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
4,152,in,de ##ple ##tion in the liver .,O,I-DiseaseOrPhenotypicFeature,false_positive
4,153,the,##ple ##tion in the liver . brain,O,I-DiseaseOrPhenotypicFeature,false_positive
4,154,liver,##tion in the liver . brain m,O,I-DiseaseOrPhenotypicFeature,false_positive
4,162,d,are normal in d ##gu ##ok patients,B-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
4,175,sub,", we found sub ##ten ##toria ##l",B-DiseaseOrPhenotypicFeature,O,false_negative
4,179,abnormal,##ten ##toria ##l abnormal my ##elin ##ation,I-DiseaseOrPhenotypicFeature,O,false_negative
4,180,my,##toria ##l abnormal my ##elin ##ation and,I-DiseaseOrPhenotypicFeature,O,false_negative
4,184,moderate,##elin ##ation and moderate h ##yper ##int,B-DiseaseOrPhenotypicFeature,O,false_negative
4,185,h,##ation and moderate h ##yper ##int ##ens,I-DiseaseOrPhenotypicFeature,O,false_negative
4,286,pu,unable to bind pu ##rine de ##ox,O,B-ChemicalEntity,false_positive
4,288,de,bind pu ##rine de ##ox ##yr ##ib,B-ChemicalEntity,I-ChemicalEntity,boundary
5,124,symptoms,au ##tist ##ic symptoms are increased in,I-DiseaseOrPhenotypicFeature,O,false_negative
5,142,22,", and large 22 ##q ##11 .",B-DiseaseOrPhenotypicFeature,O,false_negative
5,145,.,22 ##q ##11 . 2 del ##eti,I-DiseaseOrPhenotypicFeature,O,false_negative
5,146,2,##q ##11 . 2 del ##eti ##ons,I-DiseaseOrPhenotypicFeature,O,false_negative
5,147,del,##11 . 2 del ##eti ##ons and,I-DiseaseOrPhenotypicFeature,O,false_negative
5,203,disorder,association with the disorder was observed for,O,B-DiseaseOrPhenotypicFeature,false_positive
6,15,co,##zi ##lian patients co - infected with,B-DiseaseOrPhenotypicFeature,O,false_negative
6,16,-,##lian patients co - infected with hi,I-DiseaseOrPhenotypicFeature,O,false_negative
6,17,infected,patients co - infected with hi ##v,I-DiseaseOrPhenotypicFeature,O,false_negative
6,18,with,co - infected with hi ##v and,I-DiseaseOrPhenotypicFeature,O,false_negative
6,19,hi,- infected with hi ##v and he,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
6,21,and,with hi ##v and he ##pa ##titis,I-DiseaseOrPhenotypicFeature,O,false_negative
6,22,he,hi ##v and he ##pa ##titis b,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
6,63,co,group of patients co - infected with,B-DiseaseOrPhenotypicFeature,O,false_negative
6,64,-,of patients co - infected with hi,I-DiseaseOrPhenotypicFeature,O,false_negative
6,65,infected,patients co - infected with hi ##v,I-DiseaseOrPhenotypicFeature,O,false_negative
6,66,with,co - infected with hi ##v and,I-DiseaseOrPhenotypicFeature,O,false_negative
6,67,hi,- infected with hi ##v and he,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
6,69,and,with hi ##v and he ##pa ##titis,I-DiseaseOrPhenotypicFeature,O,false_negative
6,70,he,hi ##v and he ##pa ##titis b,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
6,76,h,b virus ( h ##b ##v ),B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
6,92,hi,##7 patients with hi ##v was conducted,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
6,110,h,the load of h ##b ##v was,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
6,130,h,chain reaction . h ##b ##v g,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
6,158,pre,") , and pre ##core mutations were",B-GeneOrGeneProduct,O,false_negative
6,174,co,eight patients with co - infection were,O,B-DiseaseOrPhenotypicFeature,false_positive
6,176,infection,with co - infection were identified .,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
6,183,h,the distribution of h ##b ##v g,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
6,285,r,substitution ##s ( r ##tl ##18 ##0,O,B-SequenceVariant,false_positive
6,291,r,##0 ##m + r ##t ##m ##20,O,B-SequenceVariant,false_positive
6,320,r,and an accompanying r ##t ##v ##17,O,B-SequenceVariant,false_positive
6,338,polymer,with the triple polymer ##ase substitution pattern,B-GeneOrGeneProduct,O,false_negative
6,343,r,substitution pattern ( r ##t ##v ##17,O,B-SequenceVariant,false_positive
6,350,r,##3 ##l + r ##tl ##18 ##0,O,B-SequenceVariant,false_positive
6,356,r,##0 ##m + r ##t ##m ##20,O,B-SequenceVariant,false_positive
6,368,envelope,changes in the envelope gene ( se,B-GeneOrGeneProduct,O,false_negative
6,404,pre,and in the pre ##core region (,B-GeneOrGeneProduct,O,false_negative
6,453,h,changes in the h ##b ##v genome,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
7,311,calcium,located in the calcium binding e ##pid,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
7,313,e,the calcium binding e ##pid ##er ##mal,B-GeneOrGeneProduct,I-GeneOrGeneProduct,boundary
7,319,-,##mal growth factor - like # 15,O,I-GeneOrGeneProduct,false_positive
7,320,like,growth factor - like # 15 domain,O,I-GeneOrGeneProduct,false_positive
7,321,#,factor - like # 15 domain is,O,I-GeneOrGeneProduct,false_positive
7,322,15,- like # 15 domain is highly,O,I-GeneOrGeneProduct,false_positive
8,23,du,region of the du ##chen ##ne muscular,B-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
8,26,muscular,du ##chen ##ne muscular d ##ys ##tro,I-GeneOrGeneProduct,I-DiseaseOrPhenotypicFeature,wrong_type
8,27,d,##chen ##ne muscular d ##ys ##tro ##phy,I-GeneOrGeneProduct,I-DiseaseOrPhenotypicFeature,wrong_type
8,31,(,##ys ##tro ##phy ( d ##m ##d,I-GeneOrGeneProduct,O,false_negative
8,32,d,##tro ##phy ( d ##m ##d ),I-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
8,35,),d ##m ##d ) gene . eighty,I-GeneOrGeneProduct,O,false_negative
8,36,gene,##m ##d ) gene . eighty unrelated,I-GeneOrGeneProduct,O,false_negative
8,86,d,region of the d ##m ##d lo,B-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
8,187,p,"probe ##s , p ##20 ( d",O,B-GeneOrGeneProduct,false_positive
8,204,g,. ) and g ##m ##g ##x,O,B-GeneOrGeneProduct,false_positive
9,31,anti,", an effective anti ##psy ##cho ##tic",O,B-ChemicalEntity,false_positive
9,74,camp,disrupt ##ing the camp pathway and chronic,B-ChemicalEntity,O,false_negative
9,92,water,##1 ) and water channel ( a,O,B-GeneOrGeneProduct,false_positive
9,93,channel,) and water channel ( a ##q,O,I-GeneOrGeneProduct,false_positive
9,198,p,of treatment whereas p ##k ##ca k,B-GeneOrGeneProduct,O,false_negative
9,251,p,was unchanged in p ##k ##ca k,B-GeneOrGeneProduct,O,false_negative
9,296,p,output whereas treated p ##k ##ca k,B-GeneOrGeneProduct,O,false_negative
9,337,p,whereas in treated p ##k ##ca k,B-GeneOrGeneProduct,O,false_negative
9,391,p,##hium - fed p ##k ##ca k,B-GeneOrGeneProduct,O,false_negative
11,50,derivative,##rol ##ido ##ne derivative which at ##ten,O,I-ChemicalEntity,false_positive
11,62,learning,##amine - induced learning and post -,B-DiseaseOrPhenotypicFeature,O,false_negative
11,63,and,- induced learning and post - training,I-DiseaseOrPhenotypicFeature,O,false_negative
11,64,post,induced learning and post - training consolidation,I-DiseaseOrPhenotypicFeature,O,false_negative
11,65,-,learning and post - training consolidation deficit,I-DiseaseOrPhenotypicFeature,O,false_negative
11,66,training,and post - training consolidation deficit ##s,I-DiseaseOrPhenotypicFeature,O,false_negative
11,67,consolidation,post - training consolidation deficit ##s .,I-DiseaseOrPhenotypicFeature,O,false_negative
11,68,deficit,- training consolidation deficit ##s . given,I-DiseaseOrPhenotypicFeature,O,false_negative
11,123,ago,##mine ##rg ##ic ago ##nis ##m .,I-ChemicalEntity,O,false_negative
11,281,3,##lace either [ 3 ##h ] s,B-ChemicalEntity,O,false_negative
11,290,3,##90 or [ 3 ##h ] s,B-ChemicalEntity,O,false_negative
11,300,or,from d ##1 or d ##2 do,I-GeneOrGeneProduct,O,false_negative
12,16,post,##hi ##dine for post ##oper ##ative pain,B-DiseaseOrPhenotypicFeature,O,false_negative
12,19,pain,post ##oper ##ative pain control . a,I-DiseaseOrPhenotypicFeature,O,false_negative
12,40,patient,##dine via a patient - controlled anal,B-OrganismTaxon,O,false_negative
12,54,post,for management of post ##oper ##ative pain,B-DiseaseOrPhenotypicFeature,O,false_negative
12,57,pain,post ##oper ##ative pain control . twenty,I-DiseaseOrPhenotypicFeature,O,false_negative
12,74,limited,brief self - limited seizure . both,O,I-DiseaseOrPhenotypicFeature,false_positive
12,98,central,manifest ##ations of central nervous system ex,O,B-DiseaseOrPhenotypicFeature,false_positive
12,99,nervous,##ations of central nervous system ex ##citation,O,I-DiseaseOrPhenotypicFeature,false_positive
12,100,system,of central nervous system ex ##citation .,O,I-DiseaseOrPhenotypicFeature,false_positive
12,101,ex,central nervous system ex ##citation . no,O,I-DiseaseOrPhenotypicFeature,false_positive
12,109,c,risk factors for c ##ns toxicity were,O,B-ChemicalEntity,false_positive
12,111,toxicity,for c ##ns toxicity were identified .,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
12,158,post,for a brief post ##oper ##ative anal,B-DiseaseOrPhenotypicFeature,O,false_negative
12,161,anal,post ##oper ##ative anal ##ges ##ia should,I-DiseaseOrPhenotypicFeature,O,false_negative
13,27,transplant,##ediatric re ##nal transplant recipient - -,O,I-DiseaseOrPhenotypicFeature,false_positive
13,119,transplant,male re ##nal transplant recipient with right,O,I-DiseaseOrPhenotypicFeature,false_positive
14,172,c,the positively acting c ##le ##41 /,B-GeneOrGeneProduct,O,false_negative
14,325,hormone,##mon ##ic acid hormone signaling pathways which,O,I-ChemicalEntity,false_positive
14,354,plant,mechanisms in different plant stem cell niche,O,B-OrganismTaxon,false_positive
15,95,anti,which has also anti ##ox ##ida ##nt,B-ChemicalEntity,O,false_negative
15,248,super,##tion but decreased super ##oxide di ##sm,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
15,250,di,decreased super ##oxide di ##sm ##uta ##se,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
15,255,so,##uta ##se ( so ##d ) and,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
15,289,na,u ##rina ##ry na ##g ex ##cre,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
15,297,so,", and increased so ##d activity ,",B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
15,411,tub,the extent of tub ##ular damage .,O,B-DiseaseOrPhenotypicFeature,false_positive
15,413,damage,of tub ##ular damage . it is,O,I-DiseaseOrPhenotypicFeature,false_positive
15,423,tub,##xi ##da ##tive tub ##ular damage plays,O,B-DiseaseOrPhenotypicFeature,false_positive
15,425,damage,##tive tub ##ular damage plays an important,O,I-DiseaseOrPhenotypicFeature,false_positive
16,13,auto,in patients with auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,16,dominant,auto ##so ##mal dominant cone and cone,O,I-DiseaseOrPhenotypicFeature,false_positive
16,43,600,mi ##m # 600 ##36 ##4 ),O,I-ChemicalEntity,false_positive
16,52,auto,identified to cause auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,134,auto,geographical origin with auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,137,dominant,auto ##so ##mal dominant ##ly inherited cone,O,I-DiseaseOrPhenotypicFeature,false_positive
16,139,inherited,##mal dominant ##ly inherited cone d ##ys,O,I-DiseaseOrPhenotypicFeature,false_positive
17,8,tin,##ctive effect of tin ##cture of c,B-ChemicalEntity,O,false_negative
17,10,of,of tin ##cture of c ##rata ##eg,I-ChemicalEntity,O,false_negative
17,11,c,tin ##cture of c ##rata ##eg ##us,I-ChemicalEntity,B-ChemicalEntity,boundary
17,33,tin,in rats . tin ##cture of c,B-ChemicalEntity,O,false_negative
17,35,of,. tin ##cture of c ##rata ##eg,I-ChemicalEntity,O,false_negative
17,47,alcoholic,") , an alcoholic extract of the",B-ChemicalEntity,O,false_negative
17,48,extract,", an alcoholic extract of the berries",I-ChemicalEntity,O,false_negative
17,49,of,an alcoholic extract of the berries of,I-ChemicalEntity,O,false_negative
17,50,the,alcoholic extract of the berries of ha,I-ChemicalEntity,O,false_negative
17,51,berries,extract of the berries of ha ##wth,I-ChemicalEntity,O,false_negative
17,52,of,of the berries of ha ##wth ##orn,I-ChemicalEntity,O,false_negative
17,53,ha,the berries of ha ##wth ##orn (,I-ChemicalEntity,B-OrganismTaxon,wrong_type
17,57,c,##wth ##orn ( c ##rata ##eg ##us,B-ChemicalEntity,B-OrganismTaxon,wrong_type
17,264,damage,in preventing the damage induced by is,O,B-DiseaseOrPhenotypicFeature,false_positive
18,104,bilateral,##tens ##ion with bilateral p ##ap ##ille,B-DiseaseOrPhenotypicFeature,O,false_negative
18,105,p,##ion with bilateral p ##ap ##ille ##de,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
18,146,norm,early onset and norm ##oc ##al ##ci,O,B-DiseaseOrPhenotypicFeature,false_positive
18,223,transition,##yt ##os ##ine transition at the 5,O,I-SequenceVariant,false_positive
18,384,electro,", suggesting that electro ##ly ##te abnormal",B-DiseaseOrPhenotypicFeature,O,false_negative
18,387,abnormal,electro ##ly ##te abnormal ##ities and secondary,I-DiseaseOrPhenotypicFeature,O,false_negative
18,390,secondary,abnormal ##ities and secondary al ##dos ##tero,B-DiseaseOrPhenotypicFeature,O,false_negative
18,391,al,##ities and secondary al ##dos ##tero ##nis,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
18,449,f,independent segregation of f ##ami ##lial cavern,B-DiseaseOrPhenotypicFeature,O,false_negative
20,30,se,background : altered se ##rot ##one ##rg,O,B-ChemicalEntity,false_positive
20,69,(,##oni ##n 6 ( 5 - h,I-GeneOrGeneProduct,O,false_negative
20,70,5,##n 6 ( 5 - h ##t,I-GeneOrGeneProduct,B-GeneOrGeneProduct,boundary
20,124,5,of a selective 5 - h ##t,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
20,125,-,a selective 5 - h ##t ##6,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,126,h,selective 5 - h ##t ##6 receptor,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,129,receptor,h ##t ##6 receptor antagonist . in,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,130,antagonist,##t ##6 receptor antagonist . in addition,I-ChemicalEntity,O,false_negative
20,160,5,was restored by 5 - h ##t,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
20,161,-,restored by 5 - h ##t ##6,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,162,h,by 5 - h ##t ##6 receptor,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,165,receptor,h ##t ##6 receptor antagonist in an,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,166,antagonist,##t ##6 receptor antagonist in an animal,I-ChemicalEntity,O,false_negative
20,238,paranoid,to those of paranoid type s ##chi,B-DiseaseOrPhenotypicFeature,O,false_negative
20,239,type,those of paranoid type s ##chi ##zophrenia,I-DiseaseOrPhenotypicFeature,O,false_negative
20,240,s,of paranoid type s ##chi ##zophrenia .,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
20,379,dependence,##ham ##phe ##tamine dependence patients . results,O,I-DiseaseOrPhenotypicFeature,false_positive
21,123,ni,abolished by the ni ##cot ##iner ##gic,O,B-ChemicalEntity,false_positive
21,287,r,the presence of r ##s ##lu ##rp,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,313,r,##ish ##able by r ##s ##lu ##rp,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,359,he,##tat ##3 ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,361,-,( he ##t - 1 ##a only,I-CellLine,I-GeneOrGeneProduct,wrong_type
21,362,1,he ##t - 1 ##a only ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,386,he,##l ##2 ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,388,-,( he ##t - 1 ##a ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,389,1,he ##t - 1 ##a ) and,I-CellLine,I-GeneOrGeneProduct,wrong_type
21,408,he,##n ##f ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,410,-,( he ##t - 1 ##a ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,411,1,"he ##t - 1 ##a ) ,",I-CellLine,I-GeneOrGeneProduct,wrong_type
21,422,be,##sp ##8 ( be ##p ##2 ##d,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,439,r,"part , by r ##s ##lu ##rp",B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,460,inter,gene encoding the inter ##cellular ad ##hesion,O,B-GeneOrGeneProduct,false_positive
